Application,Launcher,Path,Icon Name
Dogecoin QT,dogecoin,/usr/share/pixmaps/dogecoin.png,dogecoin
DopeWars,dopewars,dopewars-weed.png,dopewars
DOS Box,dosbox,/usr/share/pixmaps/dosbox.png,dosbox
DOS emulator,dosemu,/usr/share/pixmaps/dosemu.xpm,dosemu
DOSBox Emulator,dosbox,/usr/share/pixmaps/dosbox.png,dosbox
DoseUtility,DoseUtility,/usr/share/pixelmed/icons/DoseUtility.png,DoseUtility
Dota 2,Dota 2,steam,steam_icon_570
Double Action: Boogaloo,Double Action Boogaloo,steam,steam_icon_317360
dPluzz (Download Pluzz and C+),dpluzz,/usr/share/icons/dPluzz-ico.png,dPluzz-ico
Dr. Geo,drgeo2,drgeo2.png,drgeo
Dr. Geo,drgeo,drgeo_32x32.xpm,drgeo
Dreamchess,dreamchess,/usr/share/dreamchess/icon.png,dreamchess
dreamchess,dreamchess,/usr/share/dreamchess/icon.png,dreamchess
Driver Manager,driver-manager,/usr/share/icons/hicolor/scalable/apps/driver-manager.svg,driver-manager
DupeGuru,dupeguru_se,/usr/share/dupeguru_se/dgse_logo_128.png,dupeguru
DVBcut,dvbcut,/usr/share/dvbcut/icons/dvbcut.svg,dvbcut
DVD Encoder OGMRip,ogmrip,ogmrip.png,ogmrip
DVD Movie Backup,shrinkta,/usr/share/pixmaps/shrinkta/shrinkta-icon,shrinkta-icon
Dvd95,dvd95,/usr/share/pixmaps/dvd95/dvd9548.png,dvd95
Dwarfs!?,Dwarfs!,steam,steam_icon_35480
Dwarfs?! - F2P,Dwarfs! - F2P,steam,steam_icon_213650
E-Book Viewer,ebook-viewer,calibre,calibre-gui
E-Pyo,E-Pyo,/usr/share/pixmaps/E-Pyo.xpm,E-Pyo
Earcandy,earcandy,/usr/share/earcandy/media/icon.png,earcandy
easyLife,easylife,/usr/share/pixmaps/easylife.png,easylife
EBView,ebview,/usr/share/pixmaps/ebview.xpm,ebview
EdenMath,EdenMath,/usr/lib/GNUstep/Applications/EdenMath.app/Resources/EdenMath.tiff,EdenMath
EDFviewer,edfviewer,/usr/share/pixmaps/pymca.xpm,pymca
editra,editra,pyexiftoolgui.png,pyexiftoolgui
Edubuntu Menu Editor,menueditor,/usr/share/edubuntu-menueditor/media/edubuntu-icon.svg,edubuntu-icon
Edubuntu menu editor - Profile manager,profilemanager,/usr/share/edubuntu-menueditor/media/edubuntu-icon.svg,edubuntu-icon
eFax,efax-gtk,/usr/share/pixmaps/efax-gtk,efax-gtk
Eiciel,eiciel,/usr/share/eiciel/img/icon_eiciel_24.png,icon_eiciel_24
Einstein,einstein,einstein.png,einstein
Eintopf,eintopf,/opt/eintopf/icon.png,eintopf
Electrum,electrum,/usr/share/app-install/icons/electrum.png,electrum
Elementsinfo,elementsinfo,/usr/share/pixmaps/pymca.xpm,pymca
Elmer,ElmerGUI,/usr/share/ElmerGUI/icons/Mesh3D.png,Mesh3D
Emacs 21 (X11),emacs21,/usr/share/emacs/21.4/etc/gnu-32x32.xpm,gnu
Emacs 23,emacs23,/usr/share/icons/hicolor/scalable/apps/emacs23.svg,emacs
Emacs 24,emacs24,/usr/share/icons/hicolor/scalable/apps/emacs24.svg,emacs
emelFM2,emelfm2,emelfm2/emelfm2_48.png,emelfm2_48
emma,emma,/usr/share/emma/icons/emma.png,emma
Encrytr,encryptr,/usr/share/pixmaps/Encryptr.png,Encryptr
Encuentro,encuentro,/usr/share/encuentro/encuentro/logos/icon-32.png,encuentro
Engauge Digitizer,engauge-digitizer,/usr/share/pixmpas/engauge-digitizer.xpm,engauge-digitizer
Engauge-digitizer,engauge-digitizer,/usr/share/pixmaps/engauge-digitizer.xpm,engauge-digitizer
Enpass,enpass,enpass.png,enpass
Enpass,Enpass,/opt/Enpass/enpass.png,enpass
Entangle,entangle,/usr/share/entangle/entangle.svg,entangle
Epigrass,egigrass,/usr/share/pixmaps/egigrass.png,egigrass
Epigrass,epigrass,/usr/share/pixmaps/egigrass.png,egigrass
